X,Y,Z,name
468105.286748694,468819.007010207,79.12,West Lobe
468134.7835,468822.6893,78.55,East Lobe
468133.924319987,468823.655182616,78.83,EastMultiPiezo1m
468134.326759157,468823.687377749,78.76,EastMultiPiezo1p5m
468134.737247109,468823.840304634,78.72,EastMultiPiezo2m
468135.083344795,468823.908719294,78.58,EastMultiPiezo2p5m
